19.018 14.303 7.541 90.0 90.0 90.0
3.0 0.0 0.0
0.0 3.0 0.0
0.0 0.0 3.0
0.2257 2.5 0.7935 Si
0.7743 2.5 0.2065 Si
0.1553 2.0 0.0 Si
0.8447 2.0 0.0 Si
0.6553 2.5 0.5 Si
0.3447 2.5 0.5 Si
0.1152 2.2507 1.1743 O
0.8848 2.7493 1.1743 O
0.8848 2.2507 1.1743 O
0.1152 2.7493 1.1743 O
0.3201 3.0918 0.2501 O
0.6799 3.0918 0.7499 O
0.6799 3.0918 0.2501 O
0.3201 3.0918 0.7499 O
0.2041 2.0 1.1743 O
0.1063 3.0918 0.0 O
0.7959 2.0 1.1743 O
0.8937 3.0918 0.0 O
1.3201 2.0918 0.2501 O
1.6799 2.9082 0.7499 O
1.6799 2.9082 0.2501 O
1.3201 2.0918 0.7499 O
1.6799 2.0918 0.7499 O
1.3201 2.9082 0.2501 O
1.3201 2.9082 0.7499 O
1.6799 2.0918 0.2501 O
1.8201 2.5918 0.7501 O
1.1799 2.4082 0.2499 O
1.1799 2.4082 0.7501 O
1.8201 2.5918 0.2499 O
1.1799 2.5918 0.2499 O
1.8201 2.4082 0.7501 O
1.8201 2.4082 0.2499 O
1.1799 2.5918 0.7501 O
1.3848 2.2493 0.3257 O
1.6152 2.7507 0.6743 O
1.6152 2.7507 0.3257 O
1.3848 2.2493 0.6743 O
1.6152 2.2493 0.6743 O
1.3848 2.7507 0.3257 O
1.3848 2.7507 0.6743 O
1.6152 2.2493 0.3257 O
1.8848 2.7493 0.8257 O
1.1152 2.2507 0.1743 O
1.1152 2.2507 0.8257 O
1.8848 2.7493 0.1743 O
1.1152 2.7493 0.1743 O
1.8848 2.2507 0.8257 O
1.8848 2.2507 0.1743 O
1.1152 2.7493 0.8257 O
1.3429 2.2162 0.0 O
1.6571 2.7838000000000003 0.0 O
1.6571 2.2162 0.0 O
1.3429 2.7838000000000003 0.0 O
1.8429 2.7161999999999997 0.5 O
1.1571 2.2838 0.5 O
1.1571 2.7161999999999997 0.5 O
1.8429 2.2838 0.5 O
1.25 2.25 0.25 O
1.75 2.75 0.75 O
1.75 2.75 0.25 O
1.25 2.25 0.75 O
1.75 2.25 0.75 O
1.25 2.75 0.25 O
1.25 2.75 0.75 O
1.75 2.25 0.25 O
1.1063 2.0918 0.0 O
1.8937 2.9082 0.0 O
1.8937 2.0918 0.0 O
1.1063 2.9082 0.0 O
1.6063 2.5918 0.5 O
1.3937 2.4082 0.5 O
1.3937 2.5918 0.5 O
1.6063 2.4082 0.5 O
1.0 2.2094 0.0 O
1.0 2.7906 0.0 O
1.5 2.7094 0.5 O
1.5 2.2906 0.5 O
1.2041 2.0 0.1743 O
1.7959 2.0 0.8257 O
1.7959 2.0 0.1743 O
1.2041 2.0 0.8257 O
1.7041 2.5 0.6743 O
1.2959 2.5 0.3257 O
1.2959 2.5 0.6743 O
1.7041 2.5 0.3257 O
1.2529 2.0 0.5 O
1.7471 2.0 0.5 O
1.7529 2.5 0.0 O
1.2471 2.5 0.0 O
1.3244 2.2018 0.2064 Si
1.6756 2.7982 0.7936 Si
1.6756 2.7982 0.2064 Si
1.3244 2.2018 0.7936 Si
1.6756 2.2018 0.7936 Si
1.3244 2.7982 0.2064 Si
1.3244 2.7982 0.7936 Si
1.6756 2.2018 0.2064 Si
1.8244 2.7018 0.7064 Si
1.1756 2.2982 0.2936 Si
1.1756 2.2982 0.7064 Si
1.8244 2.7018 0.2936 Si
1.1756 2.7018 0.2936 Si
1.8244 2.2982 0.7064 Si
1.8244 2.2982 0.2936 Si
1.1756 2.7018 0.7064 Si
1.0843 2.2004 0.0 Si
1.9157 2.7996 0.0 Si
1.9157 2.2004 0.0 Si
1.0843 2.7996 0.0 Si
1.5843 2.7004 0.5 Si
1.4157 2.2996 0.5 Si
1.4157 2.7004 0.5 Si
1.5843 2.2996 0.5 Si
1.2743 2.0 0.2935 Si
1.7257 2.0 0.7065 Si
1.7257 2.0 0.2935 Si
1.2743 2.0 0.7065 Si
1.7743 2.5 0.7935 Si
1.2257 2.5 0.2065 Si
1.2257 2.5 0.7935 Si
1.7743 2.5 0.2065 Si
1.1553 2.0 0.0 Si
1.8447 2.0 0.0 Si
1.6553 2.5 0.5 Si
1.3447 2.5 0.5 Si
1.1152 2.2507 1.1743 O
1.8848 2.7493 1.1743 O
1.8848 2.2507 1.1743 O
1.1152 2.7493 1.1743 O
1.3201 3.0918 0.2501 O
1.6799 3.0918 0.7499 O
1.6799 3.0918 0.2501 O
1.3201 3.0918 0.7499 O
1.2041 2.0 1.1743 O
1.1063 3.0918 0.0 O
1.7959 2.0 1.1743 O
1.8937 3.0918 0.0 O
2.3201 2.0918 0.2501 O
2.6799 2.9082 0.7499 O
2.6799 2.9082 0.2501 O
2.3201 2.0918 0.7499 O
2.6799 2.0918 0.7499 O
2.3201 2.9082 0.2501 O
2.3201 2.9082 0.7499 O
2.6799 2.0918 0.2501 O
2.8201 2.5918 0.7501 O
2.1799 2.4082 0.2499 O
2.1799 2.4082 0.7501 O
2.8201 2.5918 0.2499 O
2.1799 2.5918 0.2499 O
2.8201 2.4082 0.7501 O
2.8201 2.4082 0.2499 O
2.1799 2.5918 0.7501 O
2.3848 2.2493 0.3257 O
2.6151999999999997 2.7507 0.6743 O
2.6151999999999997 2.7507 0.3257 O
2.3848 2.2493 0.6743 O
2.6151999999999997 2.2493 0.6743 O
2.3848 2.7507 0.3257 O
2.3848 2.7507 0.6743 O
2.6151999999999997 2.2493 0.3257 O
2.8848000000000003 2.7493 0.8257 O
2.1152 2.2507 0.1743 O
2.1152 2.2507 0.8257 O
2.8848000000000003 2.7493 0.1743 O
2.1152 2.7493 0.1743 O
2.8848000000000003 2.2507 0.8257 O
2.8848000000000003 2.2507 0.1743 O
2.1152 2.7493 0.8257 O
2.3429 2.2162 0.0 O
2.6571 2.7838000000000003 0.0 O
2.6571 2.2162 0.0 O
2.3429 2.7838000000000003 0.0 O
2.8429 2.7161999999999997 0.5 O
2.1571 2.2838 0.5 O
2.1571 2.7161999999999997 0.5 O
2.8429 2.2838 0.5 O
2.25 2.25 0.25 O
2.75 2.75 0.75 O
2.75 2.75 0.25 O
2.25 2.25 0.75 O
2.75 2.25 0.75 O
2.25 2.75 0.25 O
2.25 2.75 0.75 O
2.75 2.25 0.25 O
2.1063 2.0918 0.0 O
2.8937 2.9082 0.0 O
2.8937 2.0918 0.0 O
2.1063 2.9082 0.0 O
2.6063 2.5918 0.5 O
2.3937 2.4082 0.5 O
2.3937 2.5918 0.5 O
2.6063 2.4082 0.5 O
2.0 2.2094 0.0 O
2.0 2.7906 0.0 O
2.5 2.7094 0.5 O
2.5 2.2906 0.5 O
2.2041 2.0 0.1743 O
2.7959 2.0 0.8257 O
2.7959 2.0 0.1743 O
2.2041 2.0 0.8257 O
2.7041 2.5 0.6743 O
2.2959 2.5 0.3257 O
2.2959 2.5 0.6743 O
2.7041 2.5 0.3257 O
2.2529 2.0 0.5 O
2.7471 2.0 0.5 O
2.7529 2.5 0.0 O
2.2471 2.5 0.0 O
2.3244 2.2018 0.2064 Si
2.6756 2.7982 0.7936 Si
2.6756 2.7982 0.2064 Si
2.3244 2.2018 0.7936 Si
2.6756 2.2018 0.7936 Si
2.3244 2.7982 0.2064 Si
2.3244 2.7982 0.7936 Si
2.6756 2.2018 0.2064 Si
2.8244 2.7018 0.7064 Si
2.1756 2.2982 0.2936 Si
2.1756 2.2982 0.7064 Si
2.8244 2.7018 0.2936 Si
2.1756 2.7018 0.2936 Si
2.8244 2.2982 0.7064 Si
2.8244 2.2982 0.2936 Si
2.1756 2.7018 0.7064 Si
2.0843 2.2004 0.0 Si
2.9157 2.7996 0.0 Si
2.9157 2.2004 0.0 Si
2.0843 2.7996 0.0 Si
2.5843 2.7004 0.5 Si
2.4157 2.2996 0.5 Si
2.4157 2.7004 0.5 Si
2.5843 2.2996 0.5 Si
2.2743 2.0 0.2935 Si
2.7257 2.0 0.7065 Si
2.7257 2.0 0.2935 Si
2.2743 2.0 0.7065 Si
2.7743 2.5 0.7935 Si
2.2257 2.5 0.2065 Si
2.2257 2.5 0.7935 Si
2.7743 2.5 0.2065 Si
2.1553 2.0 0.0 Si
2.8447 2.0 0.0 Si
2.6553 2.5 0.5 Si
2.3447 2.5 0.5 Si
2.1152 2.2507 1.1743 O
2.8848000000000003 2.7493 1.1743 O
2.8848000000000003 2.2507 1.1743 O
2.1152 2.7493 1.1743 O
2.3201 3.0918 0.2501 O
2.6799 3.0918 0.7499 O
2.6799 3.0918 0.2501 O
2.3201 3.0918 0.7499 O
2.2041 2.0 1.1743 O
2.1063 3.0918 0.0 O
2.7959 2.0 1.1743 O
2.8937 3.0918 0.0 O
0.3201 0.0918 1.2501 O
0.6799 0.9082 1.7499 O
0.6799 0.9082 1.2501 O
0.3201 0.0918 1.7499 O
0.6799 0.0918 1.7499 O
0.3201 0.9082 1.2501 O
0.3201 0.9082 1.7499 O
0.6799 0.0918 1.2501 O
0.8201 0.5918 1.7501 O
0.1799 0.4082 1.2499 O
0.1799 0.4082 1.7501 O
0.8201 0.5918 1.2499 O
0.1799 0.5918 1.2499 O
0.8201 0.4082 1.7501 O
0.8201 0.4082 1.2499 O
0.1799 0.5918 1.7501 O
0.3848 0.2493 1.3256999999999999 O
0.6152 0.7507 1.6743000000000001 O
0.6152 0.7507 1.3256999999999999 O
0.3848 0.2493 1.6743000000000001 O
0.6152 0.2493 1.6743000000000001 O
0.3848 0.7507 1.3256999999999999 O
0.3848 0.7507 1.6743000000000001 O
0.6152 0.2493 1.3256999999999999 O
0.8848 0.7493 1.8256999999999999 O
0.1152 0.2507 1.1743000000000001 O
0.1152 0.2507 1.8256999999999999 O
0.8848 0.7493 1.1743000000000001 O
0.1152 0.7493 1.1743000000000001 O
0.8848 0.2507 1.8256999999999999 O
0.8848 0.2507 1.1743000000000001 O
0.1152 0.7493 1.8256999999999999 O
0.3429 0.2162 1.0 O
0.6571 0.7838 1.0 O
0.6571 0.2162 1.0 O
0.3429 0.7838 1.0 O
0.8429 0.7162 1.5 O
0.1571 0.2838 1.5 O
0.1571 0.7162 1.5 O
0.8429 0.2838 1.5 O
0.25 0.25 1.25 O
0.75 0.75 1.75 O
0.75 0.75 1.25 O
0.25 0.25 1.75 O
0.75 0.25 1.75 O
0.25 0.75 1.25 O
0.25 0.75 1.75 O
0.75 0.25 1.25 O
0.1063 0.0918 1.0 O
0.8937 0.9082 1.0 O
0.8937 0.0918 1.0 O
0.1063 0.9082 1.0 O
0.6063 0.5918 1.5 O
0.3937 0.4082 1.5 O
0.3937 0.5918 1.5 O
0.6063 0.4082 1.5 O
0.0 0.2094 1.0 O
0.0 0.7906 1.0 O
0.5 0.7094 1.5 O
0.5 0.2906 1.5 O
0.2041 0.0 1.1743000000000001 O
0.7959 0.0 1.8256999999999999 O
0.7959 0.0 1.1743000000000001 O
0.2041 0.0 1.8256999999999999 O
0.7041 0.5 1.6743000000000001 O
0.2959 0.5 1.3256999999999999 O
0.2959 0.5 1.6743000000000001 O
0.7041 0.5 1.3256999999999999 O
0.2529 0.0 1.5 O
0.7471 0.0 1.5 O
0.7529 0.5 1.0 O
0.2471 0.5 1.0 O
0.3244 0.2018 1.2064 Si
0.6756 0.7982 1.7936 Si
0.6756 0.7982 1.2064 Si
0.3244 0.2018 1.7936 Si
0.6756 0.2018 1.7936 Si
0.3244 0.7982 1.2064 Si
0.3244 0.7982 1.7936 Si
0.6756 0.2018 1.2064 Si
0.8244 0.7018 1.7064 Si
0.1756 0.2982 1.2936 Si
0.1756 0.2982 1.7064 Si
0.8244 0.7018 1.2936 Si
0.1756 0.7018 1.2936 Si
0.8244 0.2982 1.7064 Si
0.8244 0.2982 1.2936 Si
0.1756 0.7018 1.7064 Si
0.0843 0.2004 1.0 Si
0.9157 0.7996 1.0 Si
0.9157 0.2004 1.0 Si
0.0843 0.7996 1.0 Si
0.5843 0.7004 1.5 Si
0.4157 0.2996 1.5 Si
0.4157 0.7004 1.5 Si
0.5843 0.2996 1.5 Si
0.2743 0.0 1.2934999999999999 Si
0.7257 0.0 1.7065000000000001 Si
0.7257 0.0 1.2934999999999999 Si
0.2743 0.0 1.7065000000000001 Si
0.7743 0.5 1.7934999999999999 Si
0.2257 0.5 1.2065 Si
0.2257 0.5 1.7934999999999999 Si
0.7743 0.5 1.2065 Si
0.1553 0.0 1.0 Si
0.8447 0.0 1.0 Si
0.6553 0.5 1.5 Si
0.3447 0.5 1.5 Si
0.1152 0.2507 2.1742999999999997 O
0.8848 0.7493 2.1742999999999997 O
0.8848 0.2507 2.1742999999999997 O
0.1152 0.7493 2.1742999999999997 O
0.3201 1.0918 1.2501 O
0.6799 1.0918 1.7499 O
0.6799 1.0918 1.2501 O
0.3201 1.0918 1.7499 O
0.2041 0.0 2.1742999999999997 O
0.1063 1.0918 1.0 O
0.7959 0.0 2.1742999999999997 O
0.8937 1.0918 1.0 O
1.3201 0.0918 1.2501 O
1.6799 0.9082 1.7499 O
1.6799 0.9082 1.2501 O
1.3201 0.0918 1.7499 O
1.6799 0.0918 1.7499 O
1.3201 0.9082 1.2501 O
1.3201 0.9082 1.7499 O
1.6799 0.0918 1.2501 O
1.8201 0.5918 1.7501 O
1.1799 0.4082 1.2499 O
1.1799 0.4082 1.7501 O
1.8201 0.5918 1.2499 O
1.1799 0.5918 1.2499 O
1.8201 0.4082 1.7501 O
1.8201 0.4082 1.2499 O
1.1799 0.5918 1.7501 O
1.3848 0.2493 1.3256999999999999 O
1.6152 0.7507 1.6743000000000001 O
1.6152 0.7507 1.3256999999999999 O
1.3848 0.2493 1.6743000000000001 O
1.6152 0.2493 1.6743000000000001 O
1.3848 0.7507 1.3256999999999999 O
1.3848 0.7507 1.6743000000000001 O
1.6152 0.2493 1.3256999999999999 O
1.8848 0.7493 1.8256999999999999 O
1.1152 0.2507 1.1743000000000001 O
1.1152 0.2507 1.8256999999999999 O
1.8848 0.7493 1.1743000000000001 O
1.1152 0.7493 1.1743000000000001 O
1.8848 0.2507 1.8256999999999999 O
1.8848 0.2507 1.1743000000000001 O
1.1152 0.7493 1.8256999999999999 O
1.3429 0.2162 1.0 O
1.6571 0.7838 1.0 O
1.6571 0.2162 1.0 O
1.3429 0.7838 1.0 O
1.8429 0.7162 1.5 O
1.1571 0.2838 1.5 O
1.1571 0.7162 1.5 O
1.8429 0.2838 1.5 O
1.25 0.25 1.25 O
1.75 0.75 1.75 O
1.75 0.75 1.25 O
1.25 0.25 1.75 O
1.75 0.25 1.75 O
1.25 0.75 1.25 O
1.25 0.75 1.75 O
1.75 0.25 1.25 O
1.1063 0.0918 1.0 O
1.8937 0.9082 1.0 O
1.8937 0.0918 1.0 O
1.1063 0.9082 1.0 O
1.6063 0.5918 1.5 O
1.3937 0.4082 1.5 O
1.3937 0.5918 1.5 O
1.6063 0.4082 1.5 O
1.0 0.2094 1.0 O
1.0 0.7906 1.0 O
1.5 0.7094 1.5 O
1.5 0.2906 1.5 O
1.2041 0.0 1.1743000000000001 O
1.7959 0.0 1.8256999999999999 O
1.7959 0.0 1.1743000000000001 O
1.2041 0.0 1.8256999999999999 O
1.7041 0.5 1.6743000000000001 O
1.2959 0.5 1.3256999999999999 O
1.2959 0.5 1.6743000000000001 O
1.7041 0.5 1.3256999999999999 O
1.2529 0.0 1.5 O
1.7471 0.0 1.5 O
1.7529 0.5 1.0 O
1.2471 0.5 1.0 O
1.3244 0.2018 1.2064 Si
1.6756 0.7982 1.7936 Si
1.6756 0.7982 1.2064 Si
1.3244 0.2018 1.7936 Si
1.6756 0.2018 1.7936 Si
1.3244 0.7982 1.2064 Si
1.3244 0.7982 1.7936 Si
1.6756 0.2018 1.2064 Si
1.8244 0.7018 1.7064 Si
1.1756 0.2982 1.2936 Si
1.1756 0.2982 1.7064 Si
1.8244 0.7018 1.2936 Si
1.1756 0.7018 1.2936 Si
1.8244 0.2982 1.7064 Si
1.8244 0.2982 1.2936 Si
1.1756 0.7018 1.7064 Si
1.0843 0.2004 1.0 Si
1.9157 0.7996 1.0 Si
1.9157 0.2004 1.0 Si
1.0843 0.7996 1.0 Si
1.5843 0.7004 1.5 Si
1.4157 0.2996 1.5 Si
1.4157 0.7004 1.5 Si
1.5843 0.2996 1.5 Si
1.2743 0.0 1.2934999999999999 Si
1.7257 0.0 1.7065000000000001 Si
1.7257 0.0 1.2934999999999999 Si
1.2743 0.0 1.7065000000000001 Si
1.7743 0.5 1.7934999999999999 Si
1.2257 0.5 1.2065 Si
1.2257 0.5 1.7934999999999999 Si
1.7743 0.5 1.2065 Si
1.1553 0.0 1.0 Si
1.8447 0.0 1.0 Si
1.6553 0.5 1.5 Si
1.3447 0.5 1.5 Si
1.1152 0.2507 2.1742999999999997 O
1.8848 0.7493 2.1742999999999997 O
1.8848 0.2507 2.1742999999999997 O
1.1152 0.7493 2.1742999999999997 O
1.3201 1.0918 1.2501 O
1.6799 1.0918 1.7499 O
1.6799 1.0918 1.2501 O
1.3201 1.0918 1.7499 O
1.2041 0.0 2.1742999999999997 O
1.1063 1.0918 1.0 O
1.7959 0.0 2.1742999999999997 O
1.8937 1.0918 1.0 O
2.3201 0.0918 1.2501 O
2.6799 0.9082 1.7499 O
2.6799 0.9082 1.2501 O
2.3201 0.0918 1.7499 O
2.6799 0.0918 1.7499 O
2.3201 0.9082 1.2501 O
2.3201 0.9082 1.7499 O
2.6799 0.0918 1.2501 O
2.8201 0.5918 1.7501 O
2.1799 0.4082 1.2499 O
2.1799 0.4082 1.7501 O
2.8201 0.5918 1.2499 O
2.1799 0.5918 1.2499 O
2.8201 0.4082 1.7501 O
2.8201 0.4082 1.2499 O
2.1799 0.5918 1.7501 O
2.3848 0.2493 1.3256999999999999 O
2.6151999999999997 0.7507 1.6743000000000001 O
2.6151999999999997 0.7507 1.3256999999999999 O
2.3848 0.2493 1.6743000000000001 O
2.6151999999999997 0.2493 1.6743000000000001 O
2.3848 0.7507 1.3256999999999999 O
2.3848 0.7507 1.6743000000000001 O
2.6151999999999997 0.2493 1.3256999999999999 O
2.8848000000000003 0.7493 1.8256999999999999 O
2.1152 0.2507 1.1743000000000001 O
2.1152 0.2507 1.8256999999999999 O
2.8848000000000003 0.7493 1.1743000000000001 O
2.1152 0.7493 1.1743000000000001 O
2.8848000000000003 0.2507 1.8256999999999999 O
2.8848000000000003 0.2507 1.1743000000000001 O
2.1152 0.7493 1.8256999999999999 O
2.3429 0.2162 1.0 O
2.6571 0.7838 1.0 O
2.6571 0.2162 1.0 O
2.3429 0.7838 1.0 O
2.8429 0.7162 1.5 O
2.1571 0.2838 1.5 O
2.1571 0.7162 1.5 O
2.8429 0.2838 1.5 O
2.25 0.25 1.25 O
2.75 0.75 1.75 O
2.75 0.75 1.25 O
2.25 0.25 1.75 O
2.75 0.25 1.75 O
2.25 0.75 1.25 O
2.25 0.75 1.75 O
2.75 0.25 1.25 O
2.1063 0.0918 1.0 O
2.8937 0.9082 1.0 O
2.8937 0.0918 1.0 O
2.1063 0.9082 1.0 O
2.6063 0.5918 1.5 O
2.3937 0.4082 1.5 O
2.3937 0.5918 1.5 O
2.6063 0.4082 1.5 O
2.0 0.2094 1.0 O
2.0 0.7906 1.0 O
2.5 0.7094 1.5 O
2.5 0.2906 1.5 O
2.2041 0.0 1.1743000000000001 O
2.7959 0.0 1.8256999999999999 O
2.7959 0.0 1.1743000000000001 O
2.2041 0.0 1.8256999999999999 O
2.7041 0.5 1.6743000000000001 O
2.2959 0.5 1.3256999999999999 O
2.2959 0.5 1.6743000000000001 O
2.7041 0.5 1.3256999999999999 O
2.2529 0.0 1.5 O
2.7471 0.0 1.5 O
2.7529 0.5 1.0 O
2.2471 0.5 1.0 O
2.3244 0.2018 1.2064 Si
2.6756 0.7982 1.7936 Si
2.6756 0.7982 1.2064 Si
2.3244 0.2018 1.7936 Si
2.6756 0.2018 1.7936 Si
2.3244 0.7982 1.2064 Si
2.3244 0.7982 1.7936 Si
2.6756 0.2018 1.2064 Si
2.8244 0.7018 1.7064 Si
2.1756 0.2982 1.2936 Si
2.1756 0.2982 1.7064 Si
2.8244 0.7018 1.2936 Si
2.1756 0.7018 1.2936 Si
2.8244 0.2982 1.7064 Si
2.8244 0.2982 1.2936 Si
2.1756 0.7018 1.7064 Si
2.0843 0.2004 1.0 Si
2.9157 0.7996 1.0 Si
2.9157 0.2004 1.0 Si
2.0843 0.7996 1.0 Si
2.5843 0.7004 1.5 Si
2.4157 0.2996 1.5 Si
2.4157 0.7004 1.5 Si
2.5843 0.2996 1.5 Si
2.2743 0.0 1.2934999999999999 Si
2.7257 0.0 1.7065000000000001 Si
2.7257 0.0 1.2934999999999999 Si
2.2743 0.0 1.7065000000000001 Si
2.7743 0.5 1.7934999999999999 Si
2.2257 0.5 1.2065 Si
2.2257 0.5 1.7934999999999999 Si
2.7743 0.5 1.2065 Si
2.1553 0.0 1.0 Si
2.8447 0.0 1.0 Si
2.6553 0.5 1.5 Si
2.3447 0.5 1.5 Si
2.1152 0.2507 2.1742999999999997 O
2.8848000000000003 0.7493 2.1742999999999997 O
2.8848000000000003 0.2507 2.1742999999999997 O
2.1152 0.7493 2.1742999999999997 O
2.3201 1.0918 1.2501 O
2.6799 1.0918 1.7499 O
2.6799 1.0918 1.2501 O
2.3201 1.0918 1.7499 O
2.2041 0.0 2.1742999999999997 O
2.1063 1.0918 1.0 O
2.7959 0.0 2.1742999999999997 O
2.8937 1.0918 1.0 O
0.3201 1.0918 1.2501 O
0.6799 1.9082 1.7499 O
0.6799 1.9082 1.2501 O
0.3201 1.0918 1.7499 O
0.6799 1.0918 1.7499 O
0.3201 1.9082 1.2501 O
0.3201 1.9082 1.7499 O
0.6799 1.0918 1.2501 O
0.8201 1.5918 1.7501 O
0.1799 1.4082 1.2499 O
0.1799 1.4082 1.7501 O
0.8201 1.5918 1.2499 O
0.1799 1.5918 1.2499 O
0.8201 1.4082 1.7501 O
0.8201 1.4082 1.2499 O
0.1799 1.5918 1.7501 O
0.3848 1.2493 1.3256999999999999 O
0.6152 1.7507000000000001 1.6743000000000001 O
0.6152 1.7507000000000001 1.3256999999999999 O
0.3848 1.2493 1.6743000000000001 O
0.6152 1.2493 1.6743000000000001 O
0.3848 1.7507000000000001 1.3256999999999999 O
0.3848 1.7507000000000001 1.6743000000000001 O
0.6152 1.2493 1.3256999999999999 O
0.8848 1.7492999999999999 1.8256999999999999 O
0.1152 1.2507 1.1743000000000001 O
0.1152 1.2507 1.8256999999999999 O
0.8848 1.7492999999999999 1.1743000000000001 O
0.1152 1.7492999999999999 1.1743000000000001 O
0.8848 1.2507 1.8256999999999999 O
0.8848 1.2507 1.1743000000000001 O
0.1152 1.7492999999999999 1.8256999999999999 O
0.3429 1.2162 1.0 O
0.6571 1.7838 1.0 O
0.6571 1.2162 1.0 O
0.3429 1.7838 1.0 O
0.8429 1.7162 1.5 O
0.1571 1.2838 1.5 O
0.1571 1.7162 1.5 O
0.8429 1.2838 1.5 O
0.25 1.25 1.25 O
0.75 1.75 1.75 O
0.75 1.75 1.25 O
0.25 1.25 1.75 O
0.75 1.25 1.75 O
0.25 1.75 1.25 O
0.25 1.75 1.75 O
0.75 1.25 1.25 O
0.1063 1.0918 1.0 O
0.8937 1.9082 1.0 O
0.8937 1.0918 1.0 O
0.1063 1.9082 1.0 O
0.6063 1.5918 1.5 O
0.3937 1.4082 1.5 O
0.3937 1.5918 1.5 O
0.6063 1.4082 1.5 O
0.0 1.2094 1.0 O
0.0 1.7906 1.0 O
0.5 1.7094 1.5 O
0.5 1.2906 1.5 O
0.2041 1.0 1.1743000000000001 O
0.7959 1.0 1.8256999999999999 O
0.7959 1.0 1.1743000000000001 O
0.2041 1.0 1.8256999999999999 O
0.7041 1.5 1.6743000000000001 O
0.2959 1.5 1.3256999999999999 O
0.2959 1.5 1.6743000000000001 O
0.7041 1.5 1.3256999999999999 O
0.2529 1.0 1.5 O
0.7471 1.0 1.5 O
0.7529 1.5 1.0 O
0.2471 1.5 1.0 O
0.3244 1.2018 1.2064 Si
0.6756 1.7982 1.7936 Si
0.6756 1.7982 1.2064 Si
0.3244 1.2018 1.7936 Si
0.6756 1.2018 1.7936 Si
0.3244 1.7982 1.2064 Si
0.3244 1.7982 1.7936 Si
0.6756 1.2018 1.2064 Si
0.8244 1.7018 1.7064 Si
0.1756 1.2982 1.2936 Si
0.1756 1.2982 1.7064 Si
0.8244 1.7018 1.2936 Si
0.1756 1.7018 1.2936 Si
0.8244 1.2982 1.7064 Si
0.8244 1.2982 1.2936 Si
0.1756 1.7018 1.7064 Si
0.0843 1.2004 1.0 Si
0.9157 1.7995999999999999 1.0 Si
0.9157 1.2004 1.0 Si
0.0843 1.7995999999999999 1.0 Si
0.5843 1.7004000000000001 1.5 Si
0.4157 1.2995999999999999 1.5 Si
0.4157 1.7004000000000001 1.5 Si
0.5843 1.2995999999999999 1.5 Si
0.2743 1.0 1.2934999999999999 Si
0.7257 1.0 1.7065000000000001 Si
0.7257 1.0 1.2934999999999999 Si
0.2743 1.0 1.7065000000000001 Si
0.7743 1.5 1.7934999999999999 Si
0.2257 1.5 1.2065 Si
0.2257 1.5 1.7934999999999999 Si
0.7743 1.5 1.2065 Si
0.1553 1.0 1.0 Si
0.8447 1.0 1.0 Si
0.6553 1.5 1.5 Si
0.3447 1.5 1.5 Si
0.1152 1.2507 2.1742999999999997 O
0.8848 1.7492999999999999 2.1742999999999997 O
0.8848 1.2507 2.1742999999999997 O
0.1152 1.7492999999999999 2.1742999999999997 O
0.3201 2.0918 1.2501 O
0.6799 2.0918 1.7499 O
0.6799 2.0918 1.2501 O
0.3201 2.0918 1.7499 O
0.2041 1.0 2.1742999999999997 O
0.1063 2.0918 1.0 O
0.7959 1.0 2.1742999999999997 O
0.8937 2.0918 1.0 O
1.3201 1.0918 1.2501 O
1.6799 1.9082 1.7499 O
1.6799 1.9082 1.2501 O
1.3201 1.0918 1.7499 O
1.6799 1.0918 1.7499 O
1.3201 1.9082 1.2501 O
1.3201 1.9082 1.7499 O
1.6799 1.0918 1.2501 O
1.8201 1.5918 1.7501 O
1.1799 1.4082 1.2499 O
1.1799 1.4082 1.7501 O
1.8201 1.5918 1.2499 O
1.1799 1.5918 1.2499 O
1.8201 1.4082 1.7501 O
1.8201 1.4082 1.2499 O
1.1799 1.5918 1.7501 O
1.3848 1.2493 1.3256999999999999 O
1.6152 1.7507000000000001 1.6743000000000001 O
1.6152 1.7507000000000001 1.3256999999999999 O
1.3848 1.2493 1.6743000000000001 O
1.6152 1.2493 1.6743000000000001 O
1.3848 1.7507000000000001 1.3256999999999999 O
1.3848 1.7507000000000001 1.6743000000000001 O
1.6152 1.2493 1.3256999999999999 O
1.8848 1.7492999999999999 1.8256999999999999 O
1.1152 1.2507 1.1743000000000001 O
1.1152 1.2507 1.8256999999999999 O
1.8848 1.7492999999999999 1.1743000000000001 O
1.1152 1.7492999999999999 1.1743000000000001 O
1.8848 1.2507 1.8256999999999999 O
1.8848 1.2507 1.1743000000000001 O
1.1152 1.7492999999999999 1.8256999999999999 O
1.3429 1.2162 1.0 O
1.6571 1.7838 1.0 O
1.6571 1.2162 1.0 O
1.3429 1.7838 1.0 O
1.8429 1.7162 1.5 O
1.1571 1.2838 1.5 O
1.1571 1.7162 1.5 O
1.8429 1.2838 1.5 O
1.25 1.25 1.25 O
1.75 1.75 1.75 O
1.75 1.75 1.25 O
1.25 1.25 1.75 O
1.75 1.25 1.75 O
1.25 1.75 1.25 O
1.25 1.75 1.75 O
1.75 1.25 1.25 O
1.1063 1.0918 1.0 O
1.8937 1.9082 1.0 O
1.8937 1.0918 1.0 O
1.1063 1.9082 1.0 O
1.6063 1.5918 1.5 O
1.3937 1.4082 1.5 O
